"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW25";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"F_03";;;
2;"SW24";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"E_02";;;
3;"SW23";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"D#_02";;;
4;"SW22";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"D_02";;;
5;"SW21";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"C#_02";;;
6;"SW20";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"C_02";;;
7;"SW19";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"B_02";;;
8;"SW18";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"A#_02";;;
9;"SW17";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"A_02";;;
10;"SW16";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"G#_02";;;
11;"SW15";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"G_02";;;
12;"SW14";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"F#_02";;;
13;"SW13";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"F_02";;;
14;"SW12";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"E_01";;;
15;"SW11";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"D#_01";;;
16;"SW10";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"D_01";;;
17;"SW9";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"C#_01";;;
18;"SW8";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"C_01";;;
19;"SW7";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"B_01";;;
20;"SW6";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"A#_01";;;
21;"SW5";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"A_01";;;
22;"SW4";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"G#_01";;;
23;"SW3";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"G_01";;;
24;"SW2";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"F#_01";;;
25;"SW1";"SolderWire-1.5sqmm_1x02_P7.8mm_D1.7mm_OD3.9mm";1;"F_01";;;
26;"R25";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"22K";;;
27;"R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K3";;;
28;"R23,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1K4";;;
29;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K5";;;
30;"R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K7";;;
31;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K8";;;
32;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K9";;;
33;"R17,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2K";;;
34;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2K3";;;
35;"R14,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2K5";;;
36;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2K6";;;
37;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2K8";;;
38;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3K";;;
39;"R9,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"3K2";;;
40;"R7,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"3K5";;;
41;"R5,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4K";;;
42;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4K6";;;
43;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"5K";;;
44;"J2";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"Keyboard 2";;;
45;"J1";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"Keyboard 1";;;
