"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C17,C16,C15,C13,C11";"CP_Radial_D5.0mm_P2.50mm";5;"1µF";;;
2;"C10,C9";"CP_Radial_D5.0mm_P2.50mm";2;"100µF";;;
3;"C7,C6";"CP_Radial_D5.0mm_P2.50mm";2;"47µF";;;
4;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"4.7µF";;;
5;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"220µF";;;
6;"C2";"CP_Radial_D5.0mm_P2.50mm";1;"470µF";;;
7;"C14";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"333";;;
8;"C12";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"223";;;
9;"C8";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"104";;;
10;"C3";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"683";;;
11;"C1";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"150PF";;;
12;"U1";"DIP-8_W7.62mm_LongPads";1;"LA6458";;;
13;"R13";"Potentiometer_Bourns_3266W_Vertical";1;"5K";;;
14;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"18K";;;
15;"R11,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10K";;;
16;"R10,R7,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"4.7K";;;
17;"R8,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1K";;;
18;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100K";;;
19;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1M";;;
20;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100Ω";;;
21;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"51Ω";;;
22;"Q1";"TO-92_Inline";1;"2SC1815";;;
23;"J12";"PinHeader_1x09_P2.54mm_Vertical";1;"LA4140";;;
24;"J11";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"V";;;
25;"J10";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"P";;;
26;"J9";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"Y";;;
27;"J8";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"G";;;
28;"J7";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"O";;;
29;"J6";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"W";;;
30;"J5";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"R VCC";;;
31;"J4";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"B4 GND";;;
32;"J3";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"B3 GND";;;
33;"J2";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"B2 GND";;;
34;"J1";"SolderWire-0.15sqmm_1x01_D0.5mm_OD1.5mm";1;"B1 GND";;;
